"record_id","date","country","city","temperature_c","humidity_percent","precipitation_mm","air_quality_index","extreme_weather_events","climate_classification","climate_zone","biome_type","heat_index","wind_speed","wind_direction","season","population_exposure","economic_impact_estimate","infrastructure_vulnerability_score"
"aus_101","2024-04-10","Australia","Sydney","10.70","38.00","115.10",208,"None","Koeppen-A","Arid","Grassland","12.60","30.10","W","Spring",5088149,"91742530.34","5.00"
"aus_1010","2024-10-05","Australia","Melbourne","33.20","78.00","17.80",213,"Heatwave","Koeppen-C","Arid","Desert","37.10","33.30","SW","Autumn",9489569,"2900873.14","1.00"
"aus_1011","2024-10-06","Australia","Melbourne","-2.30","80.00","161.30",247,"None","Koeppen-D","Arid","Grassland","1.70","4.50","NE","Autumn",4244296,"29049840.41","1.00"
"aus_1012","2024-10-07","Australia","Melbourne","-0.70","25.00","90.80",269,"None","Koeppen-A","Arid","Wetland","0.60","32.30","SE","Autumn",4592684,"36978896.89","5.00"
"aus_1013","2024-10-08","Australia","Melbourne","39.50","37.00","13.10",291,"None","Koeppen-C","Arid","Forest","41.40","16.40","SW","Autumn",3647118,"69347777.56","2.00"
"aus_1014","2024-10-09","Australia","Melbourne","14.80","77.00","10.00",255,"None","Koeppen-D","Arid","Tundra","18.70","9.80","SW","Autumn",5440540,"93305470.98","9.00"
"aus_1015","2024-10-10","Australia","Melbourne","17.90","83.00","172.70",427,"None","Koeppen-D","Arid","Wetland","22.00","22.90","S","Autumn",1658361,"23644784.39","4.00"
"aus_1016","2024-10-11","Australia","Melbourne","41.50","28.00","75.30",467,"None","Koeppen-C","Arid","Tundra","42.90","2.10","NW","Autumn",6411894,"31207642.34","6.00"
"aus_1017","2024-10-12","Australia","Melbourne","37.80","80.00","27.20",424,"None","Koeppen-B","Arid","Wetland","41.80","5.80","E","Autumn",8049652,"86486437.06","8.00"
"aus_1018","2024-10-13","Australia","Melbourne","21.00","98.00","5.00",430,"Hurricane","Koeppen-B","Arid","Tundra","25.90","37.90","N","Autumn",8895830,"82280767.26","2.00"
"aus_1019","2024-10-14","Australia","Melbourne","13.90","18.00","130.70",182,"None","Koeppen-C","Arid","Wetland","14.80","24.40","W","Autumn",3695436,"28661089.86","10.00"
"aus_102","2024-04-11","Australia","Sydney","19.50","22.00","155.60",216,"None","Koeppen-B","Arid","Tundra","20.60","30.90","W","Spring",1056414,"48827896.18","5.00"
"aus_1020","2024-10-15","Australia","Melbourne","33.30","61.00","65.60",494,"None","Koeppen-C","Arid","Forest","36.30","30.10","N","Autumn",3160927,"89780233.73","6.00"
"aus_1021","2024-10-16","Australia","Melbourne","9.40","79.00","115.50",192,"None","Koeppen-A","Arid","Forest","13.40","6.70","NW","Autumn",5807783,"38515491.91","3.00"
"aus_1022","2024-10-17","Australia","Melbourne","41.50","68.00","53.40",418,"None","Koeppen-B","Arid","Tundra","44.90","20.90","NE","Autumn",1725604,"90156431.40","5.00"
"aus_1023","2024-10-18","Australia","Melbourne","32.40","97.00","110.40",32,"None","Koeppen-B","Arid","Forest","37.20","24.00","N","Autumn",8023153,"44887587.17","8.00"
"aus_1024","2024-10-19","Australia","Melbourne","14.90","45.00","7.60",10,"Heatwave","Koeppen-B","Arid","Wetland","17.10","24.70","S","Autumn",4337932,"58969899.38","7.00"
"aus_1025","2024-10-20","Australia","Melbourne","21.50","76.00","130.70",358,"Heatwave","Koeppen-A","Arid","Wetland","25.30","35.60","E","Autumn",8415212,"61342195.03","3.00"
"aus_1026","2024-10-21","Australia","Melbourne","-8.90","66.00","65.50",458,"None","Koeppen-A","Arid","Forest","-5.60","3.00","S","Autumn",5707565,"42117429.51","2.00"
"aus_1027","2024-10-22","Australia","Melbourne","42.50","31.00","61.20",217,"None","Koeppen-B","Arid","Wetland","44.00","26.30","SE","Autumn",9455893,"11360692.86","3.00"
"aus_1028","2024-10-23","Australia","Melbourne","-3.30","13.00","105.90",369,"None","Koeppen-D","Arid","Wetland","-2.60","18.10","S","Autumn",6616409,"50836920.26","1.00"
"aus_1029","2024-10-24","Australia","Melbourne","39.90","66.00","126.80",384,"None","Koeppen-C","Arid","Grassland","43.20","9.60","SE","Autumn",5696257,"27413972.92","7.00"
"aus_103","2024-04-12","Australia","Sydney","31.60","40.00","95.90",131,"None","Koeppen-A","Arid","Desert","33.60","2.80","SW","Spring",7261209,"94091819.59","9.00"
"aus_1030","2024-10-25","Australia","Melbourne","21.00","59.00","94.60",262,"None","Koeppen-D","Arid","Desert","23.90","1.10","SE","Autumn",8525262,"93405129.96","5.00"
"aus_1031","2024-10-26","Australia","Melbourne","36.80","54.00","48.90",118,"None","Koeppen-B","Arid","Wetland","39.50","32.20","NW","Autumn",7191713,"78059885.51","1.00"
"aus_1032","2024-10-27","Australia","Melbourne","35.80","93.00","48.80",93,"None","Koeppen-C","Arid","Grassland","40.40","22.20","SE","Autumn",2323137,"2368438.18","2.00"
"aus_1033","2024-10-28","Australia","Melbourne","-8.70","59.00","188.90",480,"None","Koeppen-C","Arid","Grassland","-5.70","8.60","SW","Autumn",3079385,"46544648.59","4.00"
"aus_1034","2024-10-29","Australia","Melbourne","-2.50","98.00","51.80",10,"None","Koeppen-A","Arid","Tundra","2.40","18.50","SW","Autumn",2122292,"66386511.81","10.00"
"aus_1035","2024-10-30","Australia","Melbourne","34.60","78.00","136.60",192,"None","Koeppen-A","Arid","Wetland","38.50","1.20","E","Autumn",5123776,"17115882.48","6.00"
"aus_1036","2024-10-31","Australia","Melbourne","-1.40","47.00","80.30",233,"None","Koeppen-A","Arid","Forest","1.00","9.20","SW","Autumn",6145808,"50880616.36","7.00"
"aus_1037","2024-11-01","Australia","Melbourne","10.80","64.00","127.00",243,"Hurricane","Koeppen-B","Arid","Grassland","14.00","13.10","S","Autumn",5050957,"78779728.43","3.00"
"aus_1038","2024-11-02","Australia","Melbourne","22.10","11.00","150.60",264,"None","Koeppen-D","Arid","Wetland","22.70","21.90","E","Autumn",3617438,"36179403.02","9.00"
"aus_1039","2024-11-03","Australia","Melbourne","25.90","22.00","25.50",39,"None","Koeppen-D","Arid","Forest","27.00","26.60","SW","Autumn",1236192,"42321879.24","4.00"
"aus_104","2024-04-13","Australia","Sydney","39.90","95.00","145.30",272,"Flood","Koeppen-A","Arid","Tundra","44.60","32.40","E","Spring",4399144,"93438802.50","9.00"
"aus_1040","2024-11-04","Australia","Melbourne","29.30","14.00","69.60",22,"Heatwave","Koeppen-C","Arid","Grassland","30.00","33.70","NE","Autumn",2521389,"43562619.15","7.00"
"aus_1041","2024-11-05","Australia","Melbourne","-5.60","46.00","112.80",327,"None","Koeppen-A","Arid","Tundra","-3.30","16.60","N","Autumn",2408436,"64959781.71","4.00"
"aus_1042","2024-11-06","Australia","Melbourne","6.20","94.00","186.40",319,"None","Koeppen-D","Arid","Forest","10.90","32.20","SW","Autumn",1510411,"51881474.75","1.00"
"aus_1043","2024-11-07","Australia","Melbourne","25.00","13.00","166.90",161,"None","Koeppen-A","Arid","Grassland","25.60","9.50","W","Autumn",4036750,"16365256.16","5.00"
"aus_1044","2024-11-08","Australia","Melbourne","42.90","54.00","158.60",357,"Drought","Koeppen-A","Arid","Wetland","45.60","1.60","NW","Autumn",6748340,"67818384.99","1.00"
"aus_1045","2024-11-09","Australia","Melbourne","21.90","16.00","99.80",459,"None","Koeppen-D","Arid","Desert","22.70","14.10","N","Autumn",7670373,"17358686.35","1.00"
"aus_1046","2024-11-10","Australia","Melbourne","5.00","41.00","42.60",338,"None","Koeppen-C","Arid","Wetland","7.10","3.80","N","Autumn",1087,"54915040.22","4.00"
"aus_1047","2024-11-11","Australia","Melbourne","-8.10","94.00","122.30",74,"None","Koeppen-B","Arid","Grassland","-3.40","7.80","N","Autumn",4245041,"54337220.62","3.00"
"aus_1048","2024-11-12","Australia","Melbourne","39.10","63.00","1.80",155,"None","Koeppen-B","Arid","Desert","42.20","36.70","SE","Autumn",7463877,"24329695.41","9.00"
"aus_1049","2024-11-13","Australia","Melbourne","9.40","35.00","135.20",467,"None","Koeppen-D","Arid","Forest","11.20","20.50","N","Autumn",9980312,"76708673.41","7.00"
"aus_105","2024-04-14","Australia","Sydney","7.20","73.00","100.20",99,"Heatwave","Koeppen-B","Arid","Forest","10.90","32.50","E","Spring",2650075,"8987350.99","4.00"
"aus_1050","2024-11-14","Australia","Melbourne","36.30","90.00","28.90",166,"None","Koeppen-A","Arid","Tundra","40.80","39.30","W","Autumn",8070820,"81487337.46","6.00"
"aus_1051","2024-11-15","Australia","Melbourne","43.40","70.00","45.00",324,"None","Koeppen-D","Arid","Desert","46.90","38.80","SW","Autumn",7799648,"78461942.75","2.00"
"aus_1052","2024-11-16","Australia","Melbourne","8.60","24.00","3.80",395,"None","Koeppen-D","Arid","Grassland","9.80","34.10","E","Autumn",8162049,"12271217.88","2.00"
"aus_1053","2024-11-17","Australia","Melbourne","-4.80","28.00","161.00",86,"None","Koeppen-B","Arid","Forest","-3.40","28.60","E","Autumn",275836,"9689493.23","8.00"
"aus_1054","2024-11-18","Australia","Melbourne","-6.50","17.00","17.30",414,"None","Koeppen-A","Arid","Wetland","-5.70","19.50","SE","Autumn",112688,"93243820.77","3.00"
"aus_1055","2024-11-19","Australia","Melbourne","15.90","58.00","5.00",100,"None","Koeppen-D","Arid","Grassland","18.80","33.00","NW","Autumn",6944718,"79819655.54","6.00"
"aus_1056","2024-11-20","Australia","Melbourne","32.90","74.00","86.30",451,"Flood","Koeppen-A","Arid","Tundra","36.60","0.10","SW","Autumn",4670176,"76643144.94","8.00"
"aus_1057","2024-11-21","Australia","Melbourne","-4.80","59.00","62.90",229,"None","Koeppen-C","Arid","Desert","-1.80","20.50","SW","Autumn",1282648,"3139575.19","4.00"
"aus_1058","2024-11-22","Australia","Melbourne","22.40","70.00","13.70",95,"None","Koeppen-B","Arid","Wetland","25.90","10.80","N","Autumn",8743449,"79263180.10","8.00"
"aus_1059","2024-11-23","Australia","Melbourne","4.70","18.00","64.00",299,"None","Koeppen-B","Arid","Wetland","5.60","37.20","NE","Autumn",4786286,"41230605.10","1.00"
"aus_106","2024-04-15","Australia","Sydney","24.20","90.00","85.30",75,"None","Koeppen-D","Arid","Grassland","28.70","33.30","S","Spring",4486261,"94826160.32","3.00"
"aus_1060","2024-11-24","Australia","Melbourne","1.60","98.00","132.10",231,"None","Koeppen-B","Arid","Forest","6.50","27.80","SE","Autumn",2277131,"77188622.93","2.00"
"aus_1061","2024-11-25","Australia","Melbourne","12.00","67.00","87.80",124,"None","Koeppen-C","Arid","Grassland","15.30","22.40","NE","Autumn",6608473,"26170208.97","6.00"
"aus_1062","2024-11-26","Australia","Melbourne","26.20","11.00","10.90",395,"None","Koeppen-D","Arid","Wetland","26.80","32.40","SE","Autumn",6718625,"58578767.67","6.00"
"aus_1063","2024-11-27","Australia","Melbourne","23.30","81.00","144.20",362,"None","Koeppen-D","Arid","Desert","27.40","17.70","SE","Autumn",7082848,"1505946.53","5.00"
"aus_1064","2024-11-28","Australia","Melbourne","24.50","28.00","41.10",112,"None","Koeppen-D","Arid","Grassland","25.90","16.50","W","Autumn",9720750,"60117507.68","6.00"
"aus_1065","2024-11-29","Australia","Melbourne","-1.00","92.00","108.20",265,"None","Koeppen-C","Arid","Wetland","3.60","10.60","NE","Autumn",4011518,"88385350.88","8.00"
"aus_1066","2024-11-30","Australia","Melbourne","29.60","36.00","51.80",372,"None","Koeppen-B","Arid","Grassland","31.40","1.40","SE","Autumn",4771719,"59477182.79","6.00"
"aus_1067","2024-12-01","Australia","Melbourne","14.50","46.00","166.80",115,"None","Koeppen-B","Arid","Grassland","16.80","0.30","N","Winter",9390301,"26019194.15","6.00"
"aus_1068","2024-12-02","Australia","Melbourne","20.30","72.00","168.50",39,"None","Koeppen-D","Arid","Wetland","23.90","7.80","E","Winter",5272153,"58803553.63","10.00"
"aus_1069","2024-12-03","Australia","Melbourne","26.20","50.00","117.10",337,"None","Koeppen-D","Arid","Wetland","28.70","25.00","S","Winter",6881159,"80818987.93","1.00"
"aus_107","2024-04-16","Australia","Sydney","26.00","49.00","184.60",173,"Drought","Koeppen-D","Arid","Wetland","28.40","15.90","S","Spring",3775101,"66174820.10","7.00"
"aus_1070","2024-12-04","Australia","Melbourne","32.40","22.00","71.90",211,"Drought","Koeppen-D","Arid","Desert","33.50","21.80","SE","Winter",8633239,"90877453.64","8.00"
"aus_1071","2024-12-05","Australia","Melbourne","37.60","82.00","6.70",54,"None","Koeppen-C","Arid","Forest","41.70","1.30","NW","Winter",1171412,"53183240.81","3.00"
"aus_1072","2024-12-06","Australia","Melbourne","35.60","97.00","95.10",401,"None","Koeppen-A","Arid","Desert","40.50","28.10","E","Winter",9119199,"64614358.78","3.00"
"aus_1073","2024-12-07","Australia","Melbourne","33.90","23.00","78.20",380,"None","Koeppen-D","Arid","Forest","35.00","24.20","SW","Winter",3799878,"4015241.75","8.00"
"aus_1074","2024-12-08","Australia","Melbourne","41.50","23.00","193.80",458,"None","Koeppen-C","Arid","Grassland","42.60","21.80","E","Winter",6635439,"89922049.00","5.00"
"aus_1075","2024-12-09","Australia","Melbourne","38.50","91.00","152.30",332,"None","Koeppen-B","Arid","Wetland","43.00","0.10","SW","Winter",5931852,"49694319.13","8.00"
"aus_1076","2024-12-10","Australia","Melbourne","5.60","81.00","53.50",276,"None","Koeppen-C","Arid","Wetland","9.60","38.00","SE","Winter",9372979,"31126620.32","8.00"
"aus_1077","2024-12-11","Australia","Melbourne","13.20","35.00","73.40",411,"None","Koeppen-B","Arid","Forest","14.90","4.70","SE","Winter",3404823,"56777666.91","8.00"
"aus_1078","2024-12-12","Australia","Melbourne","1.70","65.00","158.40",374,"Hurricane","Koeppen-D","Arid","Desert","5.00","32.30","NE","Winter",7160331,"15793702.52","7.00"
"aus_1079","2024-12-13","Australia","Melbourne","29.30","85.00","69.80",48,"None","Koeppen-B","Arid","Forest","33.50","28.30","E","Winter",9965399,"23576647.88","3.00"
"aus_108","2024-04-17","Australia","Sydney","6.00","27.00","6.40",137,"None","Koeppen-C","Arid","Grassland","7.30","31.00","NE","Spring",527312,"13298250.38","7.00"
"aus_1080","2024-12-14","Australia","Melbourne","16.90","57.00","40.80",195,"None","Koeppen-A","Arid","Wetland","19.80","28.60","NE","Winter",1596402,"7041283.42","3.00"
"aus_1081","2024-12-15","Australia","Melbourne","36.40","21.00","77.70",345,"None","Koeppen-C","Arid","Grassland","37.40","30.80","E","Winter",2295449,"22808495.69","4.00"
"aus_1082","2024-12-16","Australia","Melbourne","-6.90","38.00","107.10",73,"Heatwave","Koeppen-C","Arid","Tundra","-5.00","21.20","NW","Winter",662456,"17031101.37","2.00"
"aus_1083","2024-12-17","Australia","Melbourne","36.10","43.00","18.20",157,"None","Koeppen-C","Arid","Wetland","38.20","27.80","E","Winter",282687,"6788798.54","2.00"
"aus_1084","2024-12-18","Australia","Melbourne","22.20","35.00","40.20",478,"Heatwave","Koeppen-A","Arid","Tundra","23.90","7.10","SW","Winter",9011696,"70569918.72","4.00"
"aus_1085","2024-12-19","Australia","Melbourne","44.00","35.00","155.90",25,"None","Koeppen-B","Arid","Tundra","45.80","20.80","E","Winter",426166,"48906329.44","7.00"
"aus_1086","2024-12-20","Australia","Melbourne","11.50","91.00","147.80",208,"None","Koeppen-A","Arid","Tundra","16.10","11.40","N","Winter",6763966,"12997372.16","1.00"
"aus_1087","2024-12-21","Australia","Melbourne","6.60","61.00","136.50",87,"None","Koeppen-A","Arid","Tundra","9.70","28.00","NE","Winter",8175533,"92893292.61","9.00"
"aus_1088","2024-12-22","Australia","Melbourne","22.90","51.00","79.20",163,"None","Koeppen-B","Arid","Desert","25.40","21.70","E","Winter",767460,"43323605.32","7.00"
"aus_1089","2024-12-23","Australia","Melbourne","28.30","53.00","11.10",119,"None","Koeppen-C","Arid","Wetland","31.00","8.30","SW","Winter",3506729,"36507058.27","2.00"
"aus_109","2024-04-18","Australia","Sydney","-6.20","43.00","196.70",325,"None","Koeppen-D","Arid","Desert","-4.10","38.70","NE","Spring",638536,"20569610.46","1.00"
"aus_1090","2024-12-24","Australia","Melbourne","29.60","74.00","189.50",496,"None","Koeppen-B","Arid","Tundra","33.30","15.70","W","Winter",8924669,"90153870.34","6.00"
"aus_1091","2024-12-25","Australia","Melbourne","5.50","46.00","111.80",235,"None","Koeppen-B","Arid","Grassland","7.80","15.80","SE","Winter",2550222,"77810817.07","4.00"
"aus_1092","2024-12-26","Australia","Melbourne","25.10","30.00","52.30",273,"None","Koeppen-C","Arid","Forest","26.60","25.00","SE","Winter",4415833,"39104841.12","8.00"
"aus_1093","2024-12-27","Australia","Melbourne","7.30","40.00","198.90",296,"None","Koeppen-C","Arid","Wetland","9.30","35.20","SE","Winter",9255860,"84054596.38","4.00"
"aus_1094","2024-12-28","Australia","Melbourne","26.00","65.00","103.20",446,"None","Koeppen-A","Arid","Forest","29.20","20.00","W","Winter",495605,"71449468.55","7.00"
"aus_1095","2024-12-29","Australia","Melbourne","29.40","77.00","86.00",323,"Hurricane","Koeppen-B","Arid","Tundra","33.20","30.80","E","Winter",3422525,"20440694.84","4.00"
"aus_1096","2024-12-30","Australia","Melbourne","1.10","31.00","38.00",391,"None","Koeppen-A","Arid","Forest","2.70","35.20","W","Winter",9362824,"96158685.63","6.00"
"aus_1097","2024-12-31","Australia","Melbourne","19.70","32.00","192.90",281,"Drought","Koeppen-B","Arid","Grassland","21.30","6.10","NE","Winter",4267857,"20137289.88","9.00"
"aus_1098","2025-01-01","Australia","Melbourne","36.00","75.00","50.00",206,"None","Koeppen-B","Arid","Desert","39.80","26.70","E","Winter",9759832,"42688146.81","5.00"
"aus_1099","2025-01-02","Australia","Melbourne","-5.40","55.00","141.10",208,"None","Koeppen-B","Arid","Tundra","-2.70","35.70","N","Winter",1123795,"73368782.27","9.00"
"aus_11","2024-01-11","Australia","Sydney","7.80","54.00","130.30",176,"Drought","Koeppen-D","Arid","Wetland","10.50","18.40","SW","Winter",5169657,"42652449.21","6.00"
"aus_110","2024-04-19","Australia","Sydney","16.20","15.00","39.00",193,"Flood","Koeppen-C","Arid","Grassland","16.90","5.00","NE","Spring",2392599,"53044800.71","3.00"
"aus_1100","2025-01-03","Australia","Melbourne","32.80","59.00","50.70",279,"None","Koeppen-B","Arid","Grassland","35.80","24.30","NW","Winter",8441795,"38826119.42","3.00"
"aus_1101","2025-01-04","Australia","Melbourne","15.00","68.00","78.20",322,"None","Koeppen-D","Arid","Forest","18.40","9.50","E","Winter",495626,"89839915.58","5.00"
"aus_1102","2025-01-05","Australia","Melbourne","24.30","48.00","113.70",347,"None","Koeppen-D","Arid","Tundra","26.70","29.40","SE","Winter",7375703,"4526204.58","3.00"
"aus_1103","2025-01-06","Australia","Melbourne","17.50","85.00","60.30",23,"Flood","Koeppen-B","Arid","Wetland","21.80","25.70","NW","Winter",5037070,"67551523.87","2.00"
"aus_1104","2025-01-07","Australia","Melbourne","40.60","98.00","170.00",392,"None","Koeppen-B","Arid","Wetland","45.50","20.60","E","Winter",5381566,"60592246.59","4.00"
"aus_1105","2025-01-08","Australia","Melbourne","-0.70","80.00","126.80",450,"Flood","Koeppen-B","Arid","Wetland","3.30","25.60","E","Winter",7534848,"64935993.02","4.00"
"aus_1106","2025-01-09","Australia","Melbourne","34.10","45.00","124.20",309,"None","Koeppen-D","Arid","Wetland","36.40","21.80","SE","Winter",9166542,"94102330.81","5.00"
"aus_1107","2025-01-10","Australia","Melbourne","13.60","89.00","112.70",458,"None","Koeppen-B","Arid","Tundra","18.10","13.30","W","Winter",1978008,"28123306.23","1.00"
"aus_1108","2025-01-11","Australia","Melbourne","35.20","15.00","173.30",198,"None","Koeppen-D","Arid","Tundra","36.00","5.60","N","Winter",4598627,"67156937.86","10.00"
"aus_1109","2025-01-12","Australia","Melbourne","10.70","86.00","164.50",356,"None","Koeppen-A","Arid","Desert","15.00","21.60","E","Winter",8589161,"91786503.92","6.00"
"aus_111","2024-04-20","Australia","Sydney","25.10","62.00","185.30",238,"Flood","Koeppen-A","Arid","Forest","28.20","1.80","W","Spring",8268732,"81545239.91","9.00"
"aus_1110","2025-01-13","Australia","Melbourne","28.50","98.00","63.70",223,"None","Koeppen-C","Arid","Wetland","33.40","26.00","SE","Winter",6687790,"92028178.90","2.00"
"aus_1111","2025-01-14","Australia","Melbourne","22.30","61.00","167.70",211,"None","Koeppen-B","Arid","Tundra","25.40","22.50","S","Winter",7358455,"92289084.26","2.00"
"aus_1112","2025-01-15","Australia","Melbourne","37.80","12.00","153.60",186,"None","Koeppen-D","Arid","Tundra","38.40","39.00","SE","Winter",9692194,"6652265.09","2.00"
"aus_1113","2025-01-16","Australia","Melbourne","-9.20","36.00","15.20",46,"None","Koeppen-D","Arid","Wetland","-7.40","24.30","W","Winter",2260128,"81547267.40","4.00"
"aus_1114","2025-01-17","Australia","Melbourne","44.00","65.00","187.70",211,"None","Koeppen-C","Arid","Tundra","47.20","23.80","NE","Winter",6030815,"64120022.37","7.00"
"aus_1115","2025-01-18","Australia","Melbourne","14.00","17.00","52.80",369,"Hurricane","Koeppen-C","Arid","Grassland","14.80","0.20","W","Winter",7736835,"79557237.45","10.00"
"aus_1116","2025-01-19","Australia","Melbourne","11.60","46.00","129.50",52,"None","Koeppen-B","Arid","Wetland","13.90","2.10","SE","Winter",3694933,"22932262.84","5.00"
"aus_1117","2025-01-20","Australia","Melbourne","1.70","71.00","139.70",75,"Flood","Koeppen-C","Arid","Wetland","5.20","39.10","NE","Winter",168459,"46295380.38","2.00"
"aus_1118","2025-01-21","Australia","Melbourne","-2.10","83.00","86.60",288,"None","Koeppen-C","Arid","Wetland","2.10","13.20","NE","Winter",5697852,"375529.91","1.00"
"aus_1119","2025-01-22","Australia","Melbourne","41.70","39.00","36.30",54,"None","Koeppen-A","Arid","Wetland","43.70","34.60","SE","Winter",8089154,"13016750.62","6.00"
"aus_112","2024-04-21","Australia","Sydney","30.40","79.00","116.80",301,"None","Koeppen-A","Arid","Grassland","34.40","33.60","SW","Spring",3301832,"46323804.52","4.00"
"aus_1120","2025-01-23","Australia","Melbourne","42.50","78.00","66.10",63,"None","Koeppen-D","Arid","Tundra","46.40","30.20","W","Winter",5613554,"64235151.27","4.00"
"aus_1121","2025-01-24","Australia","Melbourne","28.50","51.00","23.70",28,"None","Koeppen-D","Arid","Wetland","31.10","39.90","SE","Winter",2076449,"67308127.20","5.00"
"aus_1122","2025-01-25","Australia","Melbourne","38.90","10.00","142.50",95,"Drought","Koeppen-D","Arid","Forest","39.40","31.70","SE","Winter",3791407,"49386386.62","2.00"
"aus_1123","2025-01-26","Australia","Melbourne","9.80","40.00","136.10",216,"None","Koeppen-D","Arid","Wetland","11.80","0.30","W","Winter",4919567,"92276697.64","3.00"
"aus_1124","2025-01-27","Australia","Melbourne","17.00","23.00","76.10",222,"None","Koeppen-B","Arid","Grassland","18.10","20.30","NW","Winter",7565305,"6838258.73","3.00"
"aus_1125","2025-01-28","Australia","Melbourne","14.60","38.00","30.20",195,"None","Koeppen-D","Arid","Grassland","16.50","14.30","NE","Winter",9266879,"51015569.34","7.00"
"aus_1126","2025-01-29","Australia","Melbourne","32.00","87.00","20.00",39,"None","Koeppen-D","Arid","Wetland","36.40","37.90","SW","Winter",3088249,"60221420.11","8.00"
"aus_1127","2025-01-30","Australia","Melbourne","37.80","33.00","161.10",400,"None","Koeppen-A","Arid","Grassland","39.40","5.10","N","Winter",2251337,"67906586.27","4.00"
"aus_1128","2025-01-31","Australia","Melbourne","17.30","81.00","171.00",484,"None","Koeppen-A","Arid","Forest","21.40","16.70","W","Winter",801648,"14567598.24","7.00"
"aus_1129","2025-02-01","Australia","Melbourne","26.80","23.00","16.30",304,"None","Koeppen-B","Arid","Grassland","27.90","21.40","S","Winter",7548069,"87098102.56","10.00"
"aus_113","2024-04-22","Australia","Sydney","22.20","99.00","62.10",147,"None","Koeppen-A","Arid","Forest","27.10","13.70","N","Spring",2075676,"30423963.42","8.00"
"aus_1130","2025-02-02","Australia","Melbourne","27.10","16.00","8.60",488,"None","Koeppen-B","Arid","Forest","27.90","21.10","SW","Winter",3433895,"97883607.45","4.00"
"aus_1131","2025-02-03","Australia","Melbourne","13.70","93.00","139.80",419,"None","Koeppen-A","Arid","Wetland","18.40","2.30","W","Winter",5604455,"34361681.64","9.00"
"aus_1132","2025-02-04","Australia","Melbourne","20.10","57.00","27.20",309,"None","Koeppen-C","Arid","Forest","23.00","33.90","W","Winter",5167941,"125544.36","8.00"
"aus_1133","2025-02-05","Australia","Melbourne","37.40","37.00","77.20",269,"None","Koeppen-C","Arid","Desert","39.20","15.50","W","Winter",1356694,"89815874.29","4.00"
"aus_1134","2025-02-06","Australia","Melbourne","2.00","38.00","178.00",19,"None","Koeppen-B","Arid","Grassland","3.90","30.30","E","Winter",8620547,"5628598.20","7.00"
"aus_1135","2025-02-07","Australia","Melbourne","22.10","47.00","20.30",206,"None","Koeppen-B","Arid","Wetland","24.50","22.60","SE","Winter",7836026,"4423770.62","2.00"
"aus_1136","2025-02-08","Australia","Melbourne","30.70","71.00","152.50",342,"Heatwave","Koeppen-A","Arid","Forest","34.20","38.80","NW","Winter",2631965,"2244551.94","4.00"
